Column1,Column2,Column3
bulletin:2A,"From today, foreigners with a valid passport are permitted to enter.

Your booth's INSPECTION hardware is now installed.

Check all passport information carefully for discrepancies. Deny any entrant with inconsistent information.

Continued...[PAGESNOTE]","오늘부터, 합당한 여권을 가진 외국인들은 입국이 허가됩니다.

귀하의 심사대에 검사 장비가 설치 되었습니다.

여권의 모든 정보를 주의깊게 살펴보고 불일치 요소를 확인하십시오. 정보와 일치하지 않는 입국자를 거절하십시오.

계속...[PAGESNOTE]"
bulletin:2B,"__________________________
INSPECT MODE

Enter INSPECT mode using the red button on your desk. While inspecting, highlight two pieces of discrepant information for further options.

__________________________
RULES &amp; REGULATIONS

This post is bound by Ministry of Admission rules and regulations. Study the rule book closely.","__________________________
검사 모드

탁자의 빨간색 버튼을 눌러 검사 모드로 들어갑니다. 검사 중에, 추가 선택을 위해 불일치하는 두 개의 정보를 강조하십시오.

__________________________
규정 &amp; 규범

본 문서는 입국부의 규정 및 규범집과 관련되어 있습니다. 규정집을 면밀히 학습하십시오."
bulletin:3A,"Entry for non-citizens is now regulated. 

All foreigners require a valid ENTRY TICKET.

Verify information before stamping passport ENTRY VISA and returning all documents to entrant. [PAGESNOTE]","비시민들에 대한 입국이 이제 규제됩니다.

모든 외국인들에게는 합당한 입국표가 필요합니다.

여권의 입국 사증란에 도장을 찍기 전 정보를 확인 후 입국자에게 모든 문서를 돌려주십시오. [PAGESNOTE]"
bulletin:4A,"Stricter credential requirements have been instituted.

Arstotzkan citizens must show their ID CARD.

Foreigners must secure and present a valid ENTRY PERMIT.

Entry tickets are no longer sufficient.

Continued...","보다 엄격한 문서 조건이 도입되었습니다.

아스토츠카 시민들은 이제 시민등록증을 제시해야 합니다.

외국인들은 반드시 유효한 입국 허가증을 제시해야 합니다.

입국표는 더 이상 유효하지 않습니다.

계속..."
bulletin:4B,"A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements.","규정집에 문서의 특징에 대해 소개하는 새로운 장이 추가되었습니다.

모든 정보를 전체적으로 확인하십시오.

잘못된 문서를 가져오는 입국자는 모두 거부하십시오.

입국자의 진술을 비교하기 위해 음성 기록을 참조하십시오."
bulletin:5A,"You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option.","이제 의심스러운 입국자를 구금할 수 있는 권한이 주어졌습니다.

구금을 위해 불일치 사항을 취조하십시오."
bulletin:6A,"The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS.","노동부에서 이민자 노동을 통제하기 위한 특별 프로그램을 도입했습니다.

노동을 위해 입국하는 여행객들은 유효한 노동 허가서를 제출해야 합니다."
bulletin:7A,"To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry.","보다 빈틈 없는 검사를 위해, 수색 설비가 심사대 내에 설치 되었습니다.

어제의 폭탄 테러에 대한 용의자로 콜레치아 극단주의자들이 용의 선상에 올랐습니다.

모든 콜레치아인들에 대한 입국 허가 이전에 수색을 하십시오."
bulletin:8A,"The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]","콜레치아 측에서 공식적으로 불만을 제기해왔습니다.

고위급 회담을 위해 오늘 외교관이 방문할 예정입니다.

콜레치아 시민들을 대상으로 하는 수색은 이제 더 이상 인가되지 않습니다.

계속...[PAGESNOTE]"
bulletin:8B,"__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information.","__________________________
외교관

외교관의 입국을 허가하기 위해선 여권과 함께 유효한 외교관 증명서가 필요합니다. 

갱신된 문서 정보를 위해 규정집을 확인하십시오."
bulletin:9A,"An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today.","정보부의 위장 요원들의 상황이 위태롭습니다.

입국부에서 이들이 연락해올 것임을 밝혔습니다. 오늘 이들이 방문할 것을 알아두십시오."
bulletin:10A,"The divisional authority of East Grestin operations will visit today.

Maintain your best behavior.","동 그레스틴 부서의 권위자가 오늘 방문 예정입니다.

최대한 처신을 잘 하십시오."
bulletin:11A,"A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued...","M.O.A. 사무실에 대한 침입으로 문서 밀봉 도구가 훼손 되었습니다.

중요한 게 사라진 건 아니지만 정보부 측에서는 공식 아스토츠카 문서에 대한 위조가 벌써 시작되었을 수 있다고 합니다.

계속..."
bulletin:11B,"__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.","__________________________
위조 문서

필요한 문서에 유효한 인장이 있는지 잘 확인 하십시오. 

인장이 없거나 잘못된 인장이 있는 경우 규정집 내의 관련 항목과 연관지으십시오."
bulletin:13A,"The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","새 감독관이 외국인들에 대한 정밀 조사 수준에 대해서 만족하지 못했다고 합니다.

오늘부터, 모든 외국인 입국자들은 체중, 신장, 그리고 신체적 특징을 적은 신원보충물을 제공해야 합니다.

규정집의 문서 장이 갱신 되었습니다."
bulletin:14A,"The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","사법부에서 지원을 요청하고 있습니다.

이제부터 일일 공고에 3명의 국제 지명수배 된 범죄자들이 올라갑니다.

이들의 얼굴과 입국자들의 얼굴을 대조하고 의심 가는 인물의 경우 즉시 구금하십시오.[PAGESNOTE]"
bulletin:16A,"The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","사법부에서 외부에 위병을 근무케 했습니다.

이제부터 무단 출입 활동을 통제하는 책임을 맡게 됩니다.

경보가 울릴 시 제공되는 열쇠를 사용해 마취총을 해금할 수 있습니다.

계속...[PAGESNOTE]"
bulletin:16B,"__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
보상

무단 침입자를 막는 경우 보너스를 받게 됩니다. 발사 후에 대상을 놓쳤을 경우엔 보너스가 줄어듭니다.

__________________________
무장 규약

다음 페이지의 안내 도표를 확인하십시오."
bulletin:18A,"Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","호의적이지 않은 국제 언론 기자들이 이민 강령에 영향을 끼쳤습니다.

이제부터 입국을 거부할 시 거부 사유 도장이 함께 찍혀야 합니다.

새로운 컴퓨터 연결 시스템이 설치 되었습니다. 거부 사유 도장을 주기 위해서 불일치 요소를 취조하십시오.

계속..."
bulletin:18B,"__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
거부 강령

거부 사유 도장은 첫 번째 취조 때 활성화 됩니다.

입국을 거부할 시, 여권에 입국 거부 및 거부 사유 도장을 찍으십시오.

입국자가 자신의 불일치 항목에 대해 충분히 항변하면, 거부 사유 도장이 찍혀있어도 입국이 허가될 수 있습니다."
bulletin:19A,"Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","임포르 측에서 아스토츠카에서 오는 모든 상품 수입을 거절하고 있습니다.

무역부의 요청에 따라, 입국부는 이 상황에 대해 맞대응할 것입니다.

임포르에서 오는 모든 입국자들을 거부하십시오."
bulletin:20A,"Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","임포르에서 자신들의 실책에 대해 동의했습니다.

임포르 시민들은 이제 입국이 가능합니다.

동 그레스틴 부서 권위자가 오늘 다시 한번 방문할 예정입니다."
bulletin:21A,"A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","정치적 망명에 대한 특별 프로그램이 설립 되었습니다.

망명하고자 하는 입국자는 반드시 유효한 망명 허가증을 제시해야 합니다.

이 경우의 입국자는 입국 허가증이나 신원 보충물을 필요로하지 않습니다."
bulletin:23A,"Your position is important and your responsibilities are broad.

Follow all protocols strictly.","귀하의 위치는 중요하며 귀하의 책임은 큽니다.

모든 강령을 엄격하게 준수하십시오."
bulletin:24A,"Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","최근 사건으로 인해 알탄 지구에 있는 아스토츠카 시민들이 의심스러운 상황입니다.

정보부에서 협력을 요구해왔습니다.

심사대 내에 문서 압수를 위한 특별 서랍이 설치되었습니다.

계속..."
bulletin:24B,"The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","규정집에 압수 관련 정책에 대한 정보가 갱신 되었습니다.

알탄 지구에 거주하는 모든 아스토츠카민들의 여권을 압수하십시오.

여권이 압수되고 기타 규칙을 위반한 상황이 아니라면 다른 여행객들은 여전히 입국이 가능합니다.

여권이 없는 상태에선 여권 압수 안내표가 발급되어 입국을 안내할 예정입니다."
bulletin:25A,"United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","연합 연방국의 시민들에게 감염성 높은 질병이 발발했다고 합니다.

연합 연방국에서 오는 모든 입국자를 거부하십시오.

알탄 지구에 사는 거주민들에 대한 여권 압수 또한 계속 진행하십시오."
bulletin:26A,"The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","전염병에 대한 위험이 너무 높습니다. 새로운 강령이 내려졌습니다.

모든 입국자들은 최신 소아마비 백신과 함께 유효한 백신 증명서를 제출해야 합니다.

여기에는 내국인, 외국인, 외교관 및 망명자들 모두가 포함됩니다.

계속..."
bulletin:26B,"United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","인증서를 제출하는 연합 연방국의 시민들은 입국이 허가됩니다.

알탄 지구에 거주하는 아스토츠카민들의 여권은 계속 압수 하십시오."
bulletin:27A,"In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","능률을 높이기 위해, 입국 허가증과 신원 보충물이 접근 허가증 하나로 통합 되었습니다.

외국인들은 이제 유효한 접근 허가증을 제시해야 합니다.

계속..."
bulletin:27B,"Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","어제 있었던 조직화된 공격으로 인해 긴급 회담이 시작되었습니다.

중요한 콜레치아 교섭가가 논의를 위해 오늘 이 검문소에 방문할 예정입니다.

알탄 지구에 거주하는 아스토츠카민들의 여권은 계속 압수 하십시오."
bulletin:28A,"In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","계속되는 공격에 대한 답변으로, 정보부 측에서는 여권 압수 프로그램을 확장하기로 했습니다.

국내에 입국하는 모든 아스토츠카 여권을 압수 하십시오.

예외는 없습니다.

외국인 여권은 압수하지 마십시오."
bulletin:29A,"[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] 모든 정부 노동자들은 철저한 정보 검사를 받아야 합니다. 비인가된 집단과의 개입이 드러날 시 즉시 체포될 수 있습니다.

귀하의 검사는 12월 24일로 예정되어 있습니다.

지정된 지역을 절대 벗어나지 마십시오.

계속..."
bulletin:29B,Continue to confiscate all Arstotzkan passports from native entrants.,국내에 입국하는 모든 아스토츠카 여권은 계속 압수 하십시오.
bulletin:30A,"[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] 모든 정부 노동자들은 철저한 정보 검사를 받아야 합니다. 비인가된 집단과의 개입이 드러날 시 즉시 체포될 수 있습니다.

귀하의 검사는 12월 24일로 예정되어 있습니다.

지정된 지역을 절대 벗어나지 마십시오.

계속..."
bulletin:30B,Continue to confiscate all Arstotzkan passports from native entrants.,국내에 입국하는 모든 아스토츠카 여권은 계속 압수 하십시오.
bulletin:31A,"The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","입국부에서는 본 검문소를 폐쇄할 지에 대한 여부를 논의하고 있습니다.

결정이 내려질 때까지, 의무를 계속 이행하십시오.

계속..."
bulletin:31B,"You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","내일 아침 정보 검사를 받기로 되어있습니다.

지정된 지역을 절대 벗어나지 마십시오.

국내에 입국하는 모든 아스토츠카 여권은 계속 압수 하십시오."
facts,$paper: Invalid $fact,$paper: $fact 유효하지 않음
facts,Missing $paper,$paper 없음
facts,$0 DISTRICT,$0 지구
facts,Presence,있음
facts,Sufficience,충분함
facts,Excellence,훌륭함
facts,Obristan,오브리스탄
facts,Antegria,안테그리아
facts,Republia,리퍼블리아
facts,UnitedFed,연방연합국
facts,Impor,임포르
facts,Kolechia,콜레치아
facts,Arstotzka,아스토츠카
facts,Skal,스칼
facts,Lorndaz,론다즈
facts,Mergerous,메르저러스
facts,St. Marmero,성 마메로
facts,Glorian,글로리안
facts,Outer Grouse,아우터 그라우
facts,True Glorian,트루 글로리안
facts,Lesrenadi,레스레나디
facts,Bostan,보스탄
facts,Great Rapid,그레잇 래피드
facts,Shingleton,싱글턴
facts,Korista City,코리스타 시티
facts,Enkyo,엔쿄
facts,Haihan,하이한
facts,Tsunkeido,츤케이도
facts,Yurko City,유르코 시티
facts,Vedor,베도르
facts,West Grestin,서 그레스틴
facts,Orvech Vonor,오르베크 보노
facts,East Grestin,동 그레스틴
facts,Paradizna,파라디즈나
facts,Passport,여권
facts,Entry Ticket,입국표
facts,Entry Permit,입국 허가증
facts,Work Pass,노동 허가서
facts,Id Card,시민등록증
facts,Id Supplement,신원 보충물
facts,Access Permit,접근 허가증
facts,Diplomatic Auth,외교관 증명서
facts,Asylum Grant,망명 허락
facts,Vaccine Cert,백신 증명서
facts,Identity Record,신원 기록
facts,Fingerprints,지문
facts,Name,성명
facts,Id Number,번호
facts,Expiration Date,만기일
facts,Issuing City,발행 도시
facts,Birth Date,생년월일
facts,Alias,이명
facts,Height,신장
facts,Weight,체중
facts,Description,특이사항
facts,Thumbprint,엄지 지문
facts,Date,날짜
facts,Purpose,목적
facts,Duration,체류 기간
facts,Face,얼굴
facts,District,지구
facts,Gender,성별
facts,Work End Date,노동 만기일
facts,Altan,알탄
facts,Vescillo,베실리오
facts,Burnton,번튼
facts,Octovalis,옥토발리스
facts,Gennistora,제니스토라
facts,Lendiforma,렌디포르마
facts,Wozenfield,워젠필드
facts,Fardesto,파데스토
facts,DENTISTRY,치과 진료
facts,HEALTH-CARE,의료 서비스
facts,GENERAL-LABOR,일반 노동
facts,ENGINEERING,기술자
facts,SPORTS,스포츠
facts,ARCHITECTURE,건축
facts,FOOD-SERVICE,요식업
facts,AVIATION,항공업
facts,ACCOUNTING,회계
facts,FISHING,어업
facts,DRAFTING,설계
facts,RESEARCH,연구
facts,FINE-ARTS,미술
facts,AGRICULTURE,농업
facts,MANUFACTURING,제조업
facts,CONSTRUCTION,건축업
facts,SURVEYING,측량
facts,STATISTICS,통계
facts,POLIO,소아마비
facts,HPV,HPV
facts,COWPOX,우두
facts,TETANUS,파상풍
facts,YEL.FEV.,황열병
facts,CHOLERA,콜레라
facts,RUBELLA,풍진
facts,HEP-B,B형 간염
facts,MEASLES,홍역
facts,TUBERC.,결핵
facts,2 DAYS,2일
facts,14 DAYS,14일
facts,1 MONTH,1달
facts,2 MONTHS,2달
facts,3 MONTHS,3달
facts,6 MONTHS,6달
facts,1 YEAR,1년
facts,FOREVER,무기한
facts,visit,방문
facts,transit,통과
facts,work,노동
facts,immigrate,이민
facts,Possible Smuggler Admitted,밀수업자 승인함
facts,Missing documents,문서 부족
facts,Wanted criminal admitted,지명수배 범죄자 승인함
facts,Incorrect purpose response,잘못된 방문 목적 대답
facts,Incorrect visit duration response,잘못된 체류 기간 대답
facts,Passport: Non-matching photo,여권: 사진 불일치
facts,Forged Entry Permit,위조 입국 허가증
facts,Forged Work Pass,위조 노동 허가서
facts,Id Card: Non-matching photo,시민등록증: 사진 불일치
facts,Forged Access Permit,위조 접근 허가증
facts,No Diplomatic Access to Arstotzka,아스토츠카에 대한 외교적 접근 권한 없음
facts,Forged Diplomatic Auth,위조 외교관 증명서
facts,Forged Asylum Grant Seal,위조 망명 허락 인장
facts,Necessary vaccine expired,필요 백신 날짜 만기
facts,Missing necessary vaccine,필요 백신 없음
facts,Name does not match record,기록과 이름 불일치
facts,Alias does not match record,기록과 이명 불일치
facts,Fingerprints do not match record,기록과 지문 불일치
facts,Cobrastan is not a real country,코브라스탄은 실존 국가가 아님
facts,No entry from Antegria,안테그리아 출신은 입국 불가
facts,No entry from Arstotzka,아스토츠카 출신은 입국 불가
facts,No entry from Republia,리퍼블리아 출신은 입국 불가
facts,No entry from United Fed,연합 연방국 출신은 입국 불가
facts,No entry from Obristan,오브리스탄 출신은 입국 불가
facts,No entry from Impor,임포르 출신은 입국 불가
facts,No entry from Kolechia,콜레치아 출신은 입국 불가
facts,Possible Terrorist Admitted,테러리스트 승인함
facts,Entrant Holds Conflicting Passports,입국자가 정보에 맞지 않는 여권 소지
facts,Entrant must have a passport,입국자는 여권을 소지해야 함
facts,Foreigners require an entry permit,외국인은 입국 허가증이 필요
facts,Foreigners require an entry ticket,외국인은 입국표가 필요
facts,All documents must be current,모든 문서가 최신이어야 함
facts,Workers must have a work pass,노동자는 노동 허가서가 필요함
facts,Citizens must have an id card,시민은 시민등록증이 필요함
facts,Foreigners require an id supplement,외국인은 신원 보충물이 필요함
facts,Arstotzkan citizens only,아스토츠카 시민만 허용
facts,No entry from United Federation,연합 연방국 출신은 입국 불가
facts,No weapons or contraband,무기 혹은 밀수품 금지
facts,All Kolechians must be searched,모든 콜레치아인들은 수색해야 함
facts,Diplomats require authorization,외교관은 증명서가 필요함
facts,Entrant must have polio vaccine cert,입국자는 소아마비 백신 증명서를 소지해야 함
facts,Asylum seekers must have a grant,망명자는 허가가 필요함
facts,Foreigners require an access permit,외국인은 접근 허가증이 필요함
facts,CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.,알탄 거주의 아스토츠카 시민 여권은 압수해야 함.
facts,CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.,모든 아스토츠카 시민 여권을 압수해야 함. 예외 없음.
facts,Passport not confiscated,여권 압류되지 않음
paper:SecondPassport,West Grestin,서 그레스틴
paper:Rules,Basic Rules,기본 규정
paper:Rules,Regional Map,지역 지도
paper:Rules,Booth Info,심사대 정보
paper:Rules,Documents,문서
paper:Rules,Confiscation,압수
paper:Rules,Obristan,오브리스탄
paper:Rules,Antegria,안테그리아
paper:Rules,Republia,리퍼블리아
paper:Rules,United,연합
paper:Rules,Federation,연방국
paper:Rules,Impor,임포르
paper:Rules,Kolechia,콜레치아
paper:Rules,Arstotzka,아스토츠카
paper:Rules,ANTEGRIA,안테그리아
paper:Rules,ARSTOTZKA,아스토츠카
paper:Rules,IMPOR,임포르
paper:Rules,KOLECHIA,콜레치아
paper:Rules,OBRISTAN,오브리스탄
paper:Rules,REPUBLIA,리퍼블리아
paper:Rules,UNITED FED.,연합 연방국
paper:Rules,Id Card (Native),시민등록증 (국내)
paper:Rules,Entry Permit,입국 허가증
paper:Rules,Id Supplement,신원 보충물
paper:Rules,Access Permit,접근 허가증
paper:Rules,Work Pass,노동 허가서
paper:Rules,Diplomatic Auth.,외교관 증명서
paper:Rules,Grant of Asylum,망명 허가증
paper:Rules,Vaccine Cert.,백신 증명서
intro,Congratulations.,축하합니다.
intro,The October labor lottery is complete. Your name was pulled.,10월 노동 복권 추첨이 끝났습니다. 당신이 뽑혔습니다.
intro,"For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","빠른 배치를 위해, 그레스틴 국경 검문소의 입국부에 보고하십시오."
intro,An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.,동 그레스틴에 있는 당신 가족에게 아파트가 제공될 예정입니다. 8급 아파트입니다.
intro,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:in-debt,Arstotzka has zero tolerance for delinquency.,아스토츠카에서는 연체를 용납하지 않습니다.
end:in-debt,Your family will be sent back to their village.,당신의 가족들은 마을로 돌아갈 것입니다.
end:in-debt,You are under arrest until your debts are repaid.,당신은 채무를 갚을 때까지 구금될 것입니다.
end:in-debt,A replacement inspector will be found easily.,대체할 검사관은 넘치니까요.
end:in-debt,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:family-dead,Your entire family is gone.,가족들이 모두 사망했습니다.
end:family-dead,The Ministry Of Labor focuses on Arstotzka's future growth.,노동부에서는 아스토츠카의 미래 성장에 집중하고 있습니다.
end:family-dead,Workers are expected to support large healthy families.,노동자에게는 건강한 가족이 요구됩니다.
end:family-dead,Your position will be filled by someone more appropriate.,당신의 위치는 보다 적절한 인사로 재배치될 예정입니다.
end:family-dead,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:turned-over-ezic-docs,You are under arrest for associating with suspicious groups.,당신은 수상한 집단과의 연관점으로 인해 체포되었습니다.
end:turned-over-ezic-docs,The Ministry of Information will perform a full audit of your recent activities.,정보부에서는 당신의 최근 활동에 대해 취조를 행할 예정입니다.
end:turned-over-ezic-docs,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:caught-with-ezic-money,The Ministry of Income has discovered an anomaly in your earnings.,소득부에서 당신의 소득 중 이상한 점을 발견했습니다.
end:caught-with-ezic-money,You are under arrest pending a full audit of your recent activities.,당신의 최근 활동에 대해 취조를 행할 예정입니다.
end:caught-with-ezic-money,Your family will likewise be held for questioning.,가족들 역시 연관되었는지 심문 받을 예정입니다.
end:caught-with-ezic-money,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:caught-with-ezic-money,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:killed-innocent,You are under arrest for the murder of an innocent.,당신은 무고한 자를 살해한 혐의로 체포당했습니다.
end:killed-innocent,The penalty is death.,판결 결과는 사형입니다.
end:killed-innocent,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:killed-innocent,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:killed-innocent,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:tranqed-innocent,You are under arrest for attacking an innocent.,당신은 무고한 자를 공격한 죄로 체포당했습니다.
end:tranqed-innocent,The penalty is forced labor.,판결 결과는 강제 노동행입니다.
end:tranqed-innocent,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:tranqed-innocent,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:tranqed-innocent,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:killed-guard,You are under arrest for the murder of an Arstotzkan official.,당신은 아스토츠카 장교를 살해한 혐의로 체포당했습니다.
end:killed-guard,The penalty is death.,판결 결과는 사형입니다.
end:killed-guard,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:killed-guard,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:killed-guard,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:tranqed-guard,You are under arrest for attacking an Arstotzkan official.,당신은 아스토츠카 장교를 공격한 혐의로 체포당했습니다.
end:tranqed-guard,The penalty is death.,판결 결과는 사형입니다.
end:tranqed-guard,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:tranqed-guard,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:tranqed-guard,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:killed-target,You are under arrest for the murder of an innocent.,당신은 무고한 자를 살해한 혐의로 체포당했습니다.
end:killed-target,The penalty is death.,판결 결과는 사형입니다.
end:killed-target,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:killed-target,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:killed-target,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:killed-target,[A note appears from under the cell door],[감옥 문 아래로 쪽지를 건네받았습니다.]
end:killed-target,INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE,검사관 - 가족들은 안전합니다 - 목표를 제거했지만 다른 문제가 생겼습니다.
end:killed-target,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED,교체된 검사관이 협조적이지 않습니다 - EZIC 활동이 멈춰지게 되었습니다.
end:killed-target,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN,더 이상의 지원을 제공할 수 없습니다 - EZIC은 다시 동면에 들어갑니다.
end:killed-target,FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK,귀하의 가족들은 오브리스탄으로 보내질 예정입니다 - 행운을 빕니다.
end:tranqed-target,You are under arrest for attacking an innocent.,당신은 무고한 자를 공격한 죄로 체포당했습니다.
end:tranqed-target,The penalty is forced labor.,판결 결과는 강제 노동행입니다.
end:tranqed-target,Your family will be questioned about their involvement.,당신의 가족들 역시 연관되었는지 심문 받을 예정입니다.
end:tranqed-target,The border will remain open under a replacement inspector.,국경은 새로운 검사관의 감독 하에 열려있을 것입니다.
end:tranqed-target,Glory to Arstotzka.,아스토츠카에 영광 있으라.
end:tranqed-target,[A note appears from under the cell door],[감옥 문 아래로 쪽지를 건네받았습니다.]
end:tranqed-target,INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL,검사관 - 가족들은 안전합니다 - 목표는 병원에서 회복했습니다.
end:tranqed-target,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED,교체된 검사관이 협조적이지 않습니다 - EZIC 활동이 멈춰지게 되었습니다.
end:tranqed-target,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN,더 이상의 지원을 제공할 수 없습니다 - EZIC은 다시 동면에 들어갑니다.
